Name,Date,Open,High,Low,Close,Adj_Close,Volume
Bitcoin USD (BTC-USD),"Oct 10, 2022","19,446.42","19,889.15","18,319.82","19,067.63","19,067.63","179,951,161,793"
Bitcoin USD (BTC-USD),"Oct 03, 2022","19,044.07","20,408.39","19,025.23","19,446.43","19,446.43","196,809,212,801"
Bitcoin USD (BTC-USD),"Sep 26, 2022","18,803.90","20,338.46","18,553.30","19,044.11","19,044.11","280,290,121,527"
Bitcoin USD (BTC-USD),"Sep 19, 2022","19,418.57","19,674.63","18,290.31","18,802.10","18,802.10","252,873,598,365"
Bitcoin USD (BTC-USD),"Sep 12, 2022","21,770.15","22,673.82","19,387.49","19,419.51","19,419.51","261,900,187,496"
Bitcoin USD (BTC-USD),"Sep 05, 2022","19,988.79","21,770.55","18,644.47","21,769.26","21,769.26","259,528,892,947"
Bitcoin USD (BTC-USD),"Aug 29, 2022","19,615.15","20,542.64","19,600.79","19,986.71","19,986.71","208,511,390,280"
Bitcoin USD (BTC-USD),"Aug 22, 2022","21,531.46","21,804.91","19,616.81","19,616.81","19,616.81","223,346,042,309"
Bitcoin USD (BTC-USD),"Aug 15, 2022","24,318.32","25,135.59","20,856.73","21,534.12","21,534.12","208,764,012,537"
Bitcoin USD (BTC-USD),"Aug 08, 2022","23,179.53","24,974.91","22,771.52","24,319.33","24,319.33","195,343,016,900"
Bitcoin USD (BTC-USD),"Aug 01, 2022","23,336.72","23,578.65","22,485.70","23,175.89","23,175.89","166,393,135,564"
Bitcoin USD (BTC-USD),"Jul 25, 2022","22,607.16","24,572.58","20,776.82","23,336.90","23,336.90","223,759,636,595"
Bitcoin USD (BTC-USD),"Jul 18, 2022","20,781.91","24,196.82","20,781.91","22,609.16","22,609.16","244,312,089,708"
Bitcoin USD (BTC-USD),"Jul 11, 2022","20,856.35","21,600.64","18,999.95","20,779.34","20,779.34","187,297,974,219"
Bitcoin USD (BTC-USD),"Jul 04, 2022","19,297.31","22,314.94","19,063.07","20,860.45","20,860.45","206,953,871,021"
Bitcoin USD (BTC-USD),"Jun 27, 2022","21,028.24","21,478.09","18,729.66","19,297.08","19,297.08","157,426,002,965"
Bitcoin USD (BTC-USD),"Jun 20, 2022","20,553.37","21,783.72","19,689.17","21,027.29","21,027.29","175,909,056,122"
Bitcoin USD (BTC-USD),"Jun 13, 2022","26,737.58","26,795.59","17,708.62","20,553.27","20,553.27","309,685,915,250"
Bitcoin USD (BTC-USD),"Jun 06, 2022","29,910.28","31,693.29","26,762.65","26,762.65","26,762.65","215,929,645,934"
Bitcoin USD (BTC-USD),"May 30, 2022","29,443.37","32,249.86","29,303.57","29,906.66","29,906.66","203,063,587,161"
